"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4796","Change delivery type to Standard Shipping and verify total price","","Mon Dec 09 14:47:31 UTC 2024","failed","Mon Dec 09 14:47:35 UTC 2024","","Sweetshop Basket Functionality Test","",""
"","9846","Fill the details and click on checkout","","Mon Dec 09 14:47:35 UTC 2024","passed","Mon Dec 09 14:47:45 UTC 2024","","Sweetshop Basket Functionality Test","",""
"","4547","Verify all selected items are present in basket","","Mon Dec 09 14:47:22 UTC 2024","failed","Mon Dec 09 14:47:27 UTC 2024","","Sweetshop Basket Functionality Test","",""
"","3728","Verify total price in GBP is correct","","Mon Dec 09 14:47:27 UTC 2024","passed","Mon Dec 09 14:47:30 UTC 2024","","Sweetshop Basket Functionality Test","",""
